LINK_ID,LINK_POINTS,ENCODED_POLY_LINE,ENCODED_POLY_LINE_LVLS,BOROUGH,LINK_NAME
43655122,4362252,"40.7889706,-73.790541 40.7889404,-73.789571 40.78923,-73.78775 40.78958,-73.78552 40.7896406,-73.78466 40.78952,-73.7821 40.7893705,-73.78109 40.78911,-73.77983 40.7886504,-73.778501 40.78822,-73.77755 40.78766,-73.776491 40.7871504,-73.77579 40.78654,-73",ar}wFzekaMDaEy@kJeA}LKkDV_O\iEr@{FzAiGtA}DnBsEdBkCxBmCjE_E|FwEzG_GhMyMzE}CfJmDnKmEtImFjG{FnLgOlCqCtDiCnI_DxQyE|CaBnGsGpBeD~A}DpFsV`CgG~BaEtFqGxAeBzBiFtA{Ft@oHS_CwAmDiBuDa@oA}OyZcAaDoA}EmBwHiBwEgHkMaBoDsAmEaBiHk@{E,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,Queens,CIP N LIE ramp - TNB
49009070,4616318,"40.6333906,-74.01586 40.634,-74.015921 40.63445,-74.01605 40.6349304,-74.0163 40.6354904,-74.016831 40.6363404,-74.0181 40.6376906,-74.020311 40.63817,-74.02093 40.6386004,-74.02127 40.6391604,-74.02155 40.63971,-74.02163 40.6402406,-74.021561 40.6409304,",ue_wFbfwbMyBJyAX_Bp@oBhBiD|FmGxL_BzBuAbAoBv@mBNiBMiCaAuCcCuD_EmMiM{V{Wq~@_aAmb@wc@qB_BkDsA{BQkDN}FrBqX|NsFvC_FnCuAn@,BBBBBBBBBBBBBBBBBBBBBBBBBBBB,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
37554255,4616339,"40.6916,-73.99915 40.69236,-73.99939 40.69272,-73.999411 40.69328,-73.99929 40.6940504,-73.999001 40.694461,-73.998831 40.694931,-73.99862 40.69543,-73.99836 40.69592,-73.99813 40.69675,-73.99772 40.6977506,-73.997251 40.698871,-73.996721 40.6993606,-73.9",oqjwFt}sbMwCn@gABoBWkF{AaE}AaBm@mJoDaI}Co@UoAmAyAwBiBiDi@eBg@yB_@mBS{BAuCBeARoCb@{Ej@aA~@_@t@HVXD^C`@u@hBWl@qCtDgChDsH`KyKtNcNjQaCfDiBnCaCrD,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
2269235,4616342,"40.7081105,-73.99944 40.7084705,-73.99884 40.70868,-73.998331 40.70886,-73.997751 40.709,-73.99702 40.7091405,-73.99594",uxmwFn_tbMgAwBi@eBc@sB[qC[wE,BBBBBB,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
32816029,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
3528047,4456505,"40.797815,-73.79321 40.80218,-73.79324001 40.807614,-73.79345 40.809816,-73.79345 40.811155,-73.79365 40.81224,-73.79403 40.813344,-73.79468 40.81418,-73.79534001 40.814734,-73.79586 40.81535,-73.79655001 40.816125,-73.79772001 40.81662,-73.79872 40.81722",ii_xFnvkaMiZF}`@h@wL?kGf@yEjA{E`CgDbCmBfB{BhCyChFcBfEwBlH_AnG{@bK,BBBBBBBBBBBBBBB,Queens,TNB N Queens Anchorage - Toll Plaza
40804470,4616215,"40.52561,-74.23039 40.5258705,-74.22618 40.5263604,-74.22336 40.52734,-74.22338 40.5371,-74.2243 40.53931,-74.22418 40.5407805,-74.223981 40.54437,-74.22283 40.5466005,-74.22172 40.54831,-74.22059",adjvF|badMs@iYaBsPcEB_|@vDyLWeHg@mUeF}L}EuIaF,BBBBBBBBBB,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
14911832,4620331,"40.8465405,-73.932021 40.84611,-73.93075 40.8452706,-73.92726 40.84496,-73.925931 40.8448206,-73.924811 40.8448206,-73.923691 40.84501,-73.92041 40.84523,-73.91556 40.8452404,-73.91198 40.8452006,-73.91082",{yhxFbzfbMtA}FfDyT\\\\\\\\|@iGZ_F?_Fe@oSk@i]AkUFgF,BBBBBBBBBB,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
36408925,4616338,"40.7607,-74.002141 40.76212,-74.91 40.76335,-73.999271 40.76491,-73.99805 40.7667406,-73.996681 40.7693,-73.994801 40.7699605,-73.994521 40.7710104,-73.99438 40.7715106,-73.9942",kaxwFjptbM{GuFuFgIwHsFmJqG_OwJcCw@qE[cBc@,BBBBBBBBB,Manhattan,12th Ave N 40th - 57th St
17710939,4763650,"40.60408,-74.052241 40.6036605,-74.05356 40.6033506,-74.05459 40.6029905,-74.055641 40.60213,-74.058271 40.60186,-74.05915 40.601741,-74.060121 40.60172,-74.06095 40.60179,-74.06175 40.6018506,-74.062621 40.60201,-74.063791 40.6021804,-74.06444 40.6039305",onyvFni~bMrAfG\\\\\\|@lEfApEjDlOt@nDV`EBdDM~CKlD_@hFa@`C}Il\,BBBBBBBBBBBBB,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
15527590,4616208,"40.6077805,-74.14091 40.60826,-74.132101",sezvFtsocM_Bav@,BB,Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE
44262130,4616323,"40.77158,-73.994441 40.7713004,-73.99455 40.77085,-73.99467 40.76997,-73.99481 40.7701604,-73.99477 40.76986,-73.994831 40.7695406,-73.99496 40.769341,-73.99508 40.768311,-73.9958 40.768311,-73.9958 40.76623,-73.99733 40.76623,-73.99733 40.76547,-73.9979",kezwFf`sbMv@TxAVnDZe@Gz@J~@Xf@VlEnC??~KpH??vCpB??zEbD??dC`B,BBBBBBBBBBBBBBBBB,Manhattan,12th Ave S 57th St - 45th St
26846473,4616261,"40.83037,-73.85062 40.82996,-73.849251 40.8294605,-73.847771 40.8290406,-73.84645 40.8288104,-73.84523 40.8288104,-73.844191 40.82898,-73.842891 40.8298604,-73.838141 40.83005,-73.836841 40.83006,-73.83578 40.8300205,-73.834511 40.8300906,-73.833971 40.83",ytexFj}vaMpAqGbBgHrAgGl@sF?oEa@cGoDu\e@cGAsEF}FMkBe@{Ci@}AyN}XqEcLyA}B_As@uA}@{AWiBEaBRoEdA}DZ,BBBBBBBBBBBBBBBBBBBBBBBB,Bronx,BE S Griswold - Castle Hill Avenue
46165227,4616220,"40.6162405,-74.02612 40.61923,-74.02361 40.62362,-74.019831 40.6248406,-74.019061 40.62579,-74.01859 40.6279004,-74.017721 40.63049,-74.01676 40.63239,-74.016061 40.63336,-74.01586",oz{vFffybMuQuNmZsVsFyC}D}AeLmDeO_E{JkCaEg@,BBBBBBBBB,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
